price,asin
999.77,B000FOHNK6
999,B0040JHVC2
999,B008XNX8A0
999,B00CI3R7BM
999,B00CI3R71C
985,B002NEGTTW
984.95,B00CAUQDNG
969,B005J6RVSE
969,B003AUZJ8K
967.1,B003AMST8K
965.48,B0037KM2IS
959.95,B00BEXK890
959.95,B00EV3QI4E
959.95,B00EV4BGY0
959.95,B00EV4BGPY
949.95,B0026FCKA0
949.95,B00466NE52
949,B00BW6LX20
946.95,B00B6191T8
946.95,B00CJ2K7IC
946.95,B00B6195IK
945.23,B0042X9LCO
944.95,B00C9H6YGG
939.95,B00C9H6YLG
939,B00894YX2U
924.95,B00I5090RG
924.95,B00I508NE2
911.89,B00B131HC0
899.99,B00AC7GMOO
